ClientID,ClientName,PriorityLevel,RequestedTaskIDs,GroupTag,AttributesJSON
C33,Horizon Enterprises,Ellipsis,"T27,T5,T22,T20,T37,T32,T17,T33,T48",Groupb,"{""priority"":""medium"",""notes"":""review Q3 targets""}"
C34,Summit Group,Ellipsis,"T39,T10,T32,T27,T31",Groupc,"{""notes"": ""escalate urgent requests ASAP""}"
C35,Pinnacle Corp,Ellipsis,"T31,T4,T7,T25,T30",Groupa,"{""location"":""San Diego"",""budget"":110000}"
C36,Vertex Inc,Ellipsis,"T23,T40,T45,T42,T13,T32,T4,T36,T25,T8",Groupb,"{""notes"": ""anticipate scope creep and mitigate risk""}"
C37,Meridian Ltd,Ellipsis,"T26,T44,T3,T29,T13,T8,T34",Groupc,"{""sla"":""24h"",""budget"":75000}"
C38,Aurora LLC,Ellipsis,"T2,T17,T3,T32,T34",Groupa,"{""notes"": ""allow for seasonal delays""}"
C39,Solstice Inc,Ellipsis,"T20,T8,T27,T37,T33,T28,T45,T10,T43,T34",Groupb,"{""notes"":""VIP status"",""region"":""EMEA""}"
C40,Zenith Solutions,Ellipsis,"T21,T17,T5,T23,T27,T6,T32,T2",Groupc,"{""notes"": ""confirm time zones for all stakeholders""}"
C41,Parallax Group,Ellipsis,"T10,T5,T39,T15,T24",Groupa,"{""location"":""Toronto"",""budget"":95000}"
C42,Kinetic Works,Ellipsis,"T12,T39,T8,T30,T45,T24,T2,T15,T10",Groupb,"{""notes"": ""escalate billing issues to finance""}"
C43,Catalyst Systems,Ellipsis,"T6,T36,T12,T41,T21,T7,T38",Groupc,"{""priority"":""high"",""sla"":""6h""}"
C44,Odyssey Corp,Ellipsis,"T33,T19,T12,T21,T48,T16",Groupa,"{""notes"": ""review legacy configurations""}"
C45,Echelon Inc,Ellipsis,"T10,T20,T9,T5,T27,T48,T36",Groupb,"{""budget"":null,""contact"":""ops@example.com""}"
C46,Vanguard Tech,Ellipsis,"T24,T1,T48,T21,T19,T4,T29,T27,T25,T14",Groupc,"{""notes"": ""ensure encryption compliance""}"
C47,Integrity Labs,Ellipsis,"T30,T10,T49,T26,T27,T34,T28,T12,T22,T16",Groupa,"{""location"":""Zurich"",""budget"":140000}"
C48,Unity Ventures,Ellipsis,"T8,T14,T49,T39,T28,T41,T35,T20,T10",Groupb,"{""notes"": ""prepare presentation deck by Friday""}"
C49,Velocity Corp,Ellipsis,"T1,T43,T3,T17",Groupc,"{""sla"":""72h"",""notes"":""bulk orders only""}"
C50,Nexus Dynamics,Ellipsis,"T13,T44,T3,T19,T9,T5,T39,T49,T6,T17",Groupa,"{""notes"": ""finalize project charter before kickoff""}"
